id,genre,Popularity,Song,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,seconds
5sdkS8DXx8rXNLxbSos8GS,chill,64.0,Weight,0.615,0.936,A,-2.303,Major,0.189,0.0656,1.17e-05,0.204,0.388,122.994,audio_features,spotify:track:5sdkS8DXx8rXNLxbSos8GS,https://api.spotify.com/v1/tracks/5sdkS8DXx8rXNLxbSos8GS,https://api.spotify.com/v1/audio-analysis/5sdkS8DXx8rXNLxbSos8GS,124873,4/4,124.873
4jrXcjE0rKXu4svwQ7IYzD,chill,73.0,Night Drive,0.672,0.99,C,-3.811,Major,0.0392,0.137,0.851,0.103,0.15,119.957,audio_features,spotify:track:4jrXcjE0rKXu4svwQ7IYzD,https://api.spotify.com/v1/tracks/4jrXcjE0rKXu4svwQ7IYzD,https://api.spotify.com/v1/audio-analysis/4jrXcjE0rKXu4svwQ7IYzD,124312,4/4,124.312
4YaNLEPw3MrIgkGOkBrAh2,chill,62.0,Across The Room,0.566,0.587,F#G,-5.96,Major,0.0308,0.0155,2.05e-05,0.111,0.246,82.046,audio_features,spotify:track:4YaNLEPw3MrIgkGOkBrAh2,https://api.spotify.com/v1/tracks/4YaNLEPw3MrIgkGOkBrAh2,https://api.spotify.com/v1/audio-analysis/4YaNLEPw3MrIgkGOkBrAh2,283538,4/4,283.538
4NCWqyJW2460aGgt6YYAJt,chill,65.0,Hunger,0.389,0.631,A#B,-7.485,Major,0.083,0.875,0.0,0.392,0.603,137.324,audio_features,spotify:track:4NCWqyJW2460aGgt6YYAJt,https://api.spotify.com/v1/tracks/4NCWqyJW2460aGgt6YYAJt,https://api.spotify.com/v1/audio-analysis/4NCWqyJW2460aGgt6YYAJt,69957,4/4,69.957
6O03dtr3K8ra6dmTrGwKYS,chill,67.0,sunsmoke,0.759,0.0585,G#A,-12.451,Major,0.426,0.723,0.948,0.11,0.465,156.093,audio_features,spotify:track:6O03dtr3K8ra6dmTrGwKYS,https://api.spotify.com/v1/tracks/6O03dtr3K8ra6dmTrGwKYS,https://api.spotify.com/v1/audio-analysis/6O03dtr3K8ra6dmTrGwKYS,73846,4/4,73.846
2qfPBPq9BEVEd1GF4UH96H,chill,65.0,pg baby,0.325,0.8,A#B,-8.719,Minor,0.486,0.0401,0.0,0.142,0.885,80.628,audio_features,spotify:track:2qfPBPq9BEVEd1GF4UH96H,https://api.spotify.com/v1/tracks/2qfPBPq9BEVEd1GF4UH96H,https://api.spotify.com/v1/audio-analysis/2qfPBPq9BEVEd1GF4UH96H,156800,4/4,156.8
3DZfp14PTnqbFToBnCztfW,chill,67.0,Meet the Frownies,0.663,0.444,B,-11.214,Minor,0.0338,0.274,0.664,0.388,0.2,122.975,audio_features,spotify:track:3DZfp14PTnqbFToBnCztfW,https://api.spotify.com/v1/tracks/3DZfp14PTnqbFToBnCztfW,https://api.spotify.com/v1/audio-analysis/3DZfp14PTnqbFToBnCztfW,240493,4/4,240.493
2gQK13gXYZRq2MgvPJyHx8,chill,67.0,The Last Goodbye,0.667,0.92,A,-2.71,Major,0.0773,0.00752,0.00232,0.126,0.146,114.977,audio_features,spotify:track:2gQK13gXYZRq2MgvPJyHx8,https://api.spotify.com/v1/tracks/2gQK13gXYZRq2MgvPJyHx8,https://api.spotify.com/v1/audio-analysis/2gQK13gXYZRq2MgvPJyHx8,358983,4/4,358.983
01Rc6yXYtujAnMaR1NME11,chill,68.0,I'll Keep You Safe,0.752,0.0625,G,-24.694,Major,0.0557,0.945,0.819,0.178,0.462,114.982,audio_features,spotify:track:01Rc6yXYtujAnMaR1NME11,https://api.spotify.com/v1/tracks/01Rc6yXYtujAnMaR1NME11,https://api.spotify.com/v1/audio-analysis/01Rc6yXYtujAnMaR1NME11,185876,4/4,185.876
3boC2M1D82RuRJhUOkSHtg,chill,66.0,Answering Machine,0.582,0.27,A,-16.129,Major,0.0336,0.829,0.864,0.936,0.0398,119.923,audio_features,spotify:track:3boC2M1D82RuRJhUOkSHtg,https://api.spotify.com/v1/tracks/3boC2M1D82RuRJhUOkSHtg,https://api.spotify.com/v1/audio-analysis/3boC2M1D82RuRJhUOkSHtg,309000,4/4,309.0
